Complexity,Loss,Equation
1,5.147497,"3.0500946"
5,4.917549,"cos(cos(x0)) * 3.9517496"
6,4.0709333,"cos(x0 / 0.3658626) + 3.044047"
8,3.8234723,"cos((x0 + 6.4363446) / 2.554027) + 3.0459883"
9,3.4876907,"cos(cos(x0 * -0.38583302) + 0.448748) * 4.356628"
11,2.885817,"(cos(cos(x0 * (x0 * -0.29453045))) + -0.29453045) * 5.9391603"
13,2.8605468,"(cos(cos((0.2520682 - (x0 * x0)) * -0.29454392)) + -0.29227722) * 5.9391603"
16,2.7012177,"(5.9735074 * cos((cos(cos(x0 * (x0 * -0.29453045))) + -1.8316846) * 1.2592686)) - -1.5997076"
17,2.6580698,"((5.9735074 * (cos(cos((x0 * x0) * -0.29453045)) + cos(-1.8316846))) * 1.2592686) - exp(0.14170896)"
